DateTime;Players;Average Players;Twitch Viewers;game
19.11.22 00:00;11264;7969;5395;forza_horizon_5
20.11.22 00:00;10129;7427;1137;forza_horizon_5
21.11.22 00:00;7048;5127;1410;forza_horizon_5
22.11.22 00:00;7075;4985;983;forza_horizon_5
23.11.22 00:00;7273;5198;1552;forza_horizon_5
24.11.22 00:00;11109;6730;2052;forza_horizon_5
25.11.22 00:00;11353;7864;6078;forza_horizon_5
26.11.22 00:00;12741;9241;5206;forza_horizon_5
27.11.22 00:00;13088;9169;7265;forza_horizon_5
28.11.22 00:00;9603;6888;787;forza_horizon_5
29.11.22 00:00;10202;6949;925;forza_horizon_5
30.11.22 00:00;10997;7363;1419;forza_horizon_5
01.12.22 00:00;12497;7825;1790;forza_horizon_5
02.12.22 00:00;13102;8571;3055;forza_horizon_5
03.12.22 00:00;13582;9620;1250;forza_horizon_5
04.12.22 00:00;12574;8888;845;forza_horizon_5
05.12.22 00:00;9044;6320;1484;forza_horizon_5
06.12.22 00:00;11570;7008;7012;forza_horizon_5
07.12.22 00:00;9740;6459;1563;forza_horizon_5
08.12.22 00:00;13432;7896;4639;forza_horizon_5
